,actors,jailed,wealth,bribes
0,8.0,0.0,0.0,0.0
1,8.0,0.0,97250.0,0.0
2,8.0,0.0,278250.0,0.0
3,8.0,0.0,477750.0,0.0
4,8.0,0.0,740250.0,0.0
5,8.0,0.0,1042750.0,0.0
6,7.0,1.0,1261000.0,0.0
7,7.0,1.0,1488750.0,0.0
8,6.0,2.0,1708250.0,0.0
9,5.0,3.0,1885500.0,567200.0
10,5.0,3.0,2053500.0,0.0
11,5.0,3.0,2136750.0,0.0
12,5.0,3.0,2363500.0,0.0
13,5.0,3.0,2378000.0,0.0
14,5.0,3.0,2447500.0,0.0
15,5.0,3.0,2566000.0,0.0
16,4.0,4.0,2856250.0,0.0
17,3.0,5.0,2895500.0,0.0
18,3.0,5.0,2923750.0,0.0
19,3.0,5.0,2936250.0,0.0
20,3.0,5.0,2973250.0,0.0
21,3.0,5.0,3058250.0,0.0
22,3.0,5.0,3178500.0,384800.0
23,3.0,5.0,3191000.0,0.0
24,3.0,5.0,3193500.0,0.0
25,3.0,5.0,3342500.0,0.0
26,3.0,5.0,3362500.0,0.0
27,3.0,5.0,3447000.0,0.0
28,2.0,6.0,3448000.0,0.0
29,2.0,6.0,3529000.0,259200.0
30,2.0,6.0,3531250.0,0.0
31,2.0,6.0,3532250.0,0.0
32,2.0,6.0,3541250.0,0.0
33,2.0,6.0,3613500.0,0.0
34,2.0,6.0,3625750.0,0.0
35,2.0,6.0,3638000.0,0.0
36,2.0,6.0,3668250.0,0.0
37,2.0,6.0,3710500.0,0.0
38,2.0,6.0,3735500.0,0.0
39,2.0,6.0,3784500.0,0.0
40,2.0,6.0,3793500.0,0.0
41,2.0,6.0,3794500.0,0.0
42,0.0,8.0,0.0,0.0
43,9.0,8.0,0.0,0.0
44,7.0,10.0,158500.0,0.0
45,4.0,13.0,0.0,0.0
46,13.0,13.0,0.0,0.0
47,13.0,13.0,155000.0,0.0
48,13.0,13.0,406000.0,0.0
49,13.0,13.0,657500.0,0.0
50,13.0,13.0,916500.0,0.0
51,13.0,13.0,1027750.0,0.0
52,13.0,13.0,1182500.0,0.0
53,13.0,13.0,1492750.0,0.0
54,13.0,13.0,1709000.0,0.0
55,13.0,13.0,1838500.0,0.0
