,actors,jailed,wealth,bribes
0,8.0,0.0,0.0,0.0
1,8.0,0.0,271000.0,0.0
2,8.0,0.0,405000.0,0.0
3,8.0,0.0,542250.0,0.0
4,8.0,0.0,774750.0,0.0
5,8.0,0.0,1121500.0,0.0
6,7.0,1.0,1466500.0,0.0
7,7.0,1.0,1612000.0,0.0
8,7.0,1.0,1915750.0,0.0
9,7.0,1.0,2217000.0,0.0
10,7.0,1.0,2487750.0,0.0
11,7.0,1.0,2640250.0,0.0
12,7.0,1.0,2931000.0,0.0
13,7.0,1.0,3106500.0,0.0
14,7.0,1.0,3288000.0,0.0
15,7.0,1.0,3601750.0,0.0
16,7.0,1.0,3917000.0,0.0
17,6.0,2.0,4146750.0,0.0
18,6.0,2.0,4298000.0,0.0
19,6.0,2.0,4590750.0,936800.0
20,6.0,2.0,4787000.0,0.0
21,6.0,2.0,5004250.0,0.0
22,6.0,2.0,5103750.0,0.0
23,6.0,2.0,5187750.0,0.0
24,6.0,2.0,5307500.0,0.0
25,6.0,2.0,5539250.0,0.0
26,6.0,2.0,5693250.0,0.0
27,6.0,2.0,5953500.0,0.0
28,6.0,2.0,6146500.0,0.0
29,6.0,2.0,6356500.0,0.0
30,6.0,2.0,6439500.0,0.0
31,6.0,2.0,6614500.0,0.0
32,5.0,3.0,6857750.0,0.0
33,4.0,4.0,6910500.0,0.0
34,3.0,5.0,6978500.0,0.0
35,3.0,5.0,6979750.0,0.0
36,3.0,5.0,7074000.0,0.0
37,3.0,5.0,7104500.0,0.0
38,3.0,5.0,7224750.0,0.0
39,2.0,6.0,7225000.0,0.0
40,2.0,6.0,7306000.0,259200.0
41,2.0,6.0,7331000.0,0.0
42,2.0,6.0,7347000.0,0.0
43,2.0,6.0,7353250.0,0.0
44,2.0,6.0,7383500.0,0.0
45,2.0,6.0,7383750.0,0.0
46,2.0,6.0,7396000.0,0.0
47,2.0,6.0,7408250.0,0.0
48,2.0,6.0,7450500.0,0.0
49,0.0,8.0,0.0,0.0
